dataset	entities	relations	triples	trial	model	entity_margin	relation_margin	threshold	time	mrr	iamr	igmr	hits@1	hits@5	hits@10	hits@50	hits@100	aamr	aamri
Countries	271	2	1110	0	MarginalDistribution	True	True		0.025923967361450195	0.007493667640792167	0.007491221225126804	0.007492426960356315	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	1	MarginalDistribution	True	True		0.0307619571685791	0.007526750119017399	0.007517030772844727	0.007521598841359188	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	2	MarginalDistribution	True	True		0.024991989135742188	0.007574502084499648	0.007556080283353011	0.007564694143897389	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	3	MarginalDistribution	True	True		0.025659799575805664	0.007496763848532328	0.007494730267780466	0.007495730624838166	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	4	MarginalDistribution	True	True		0.01990818977355957	0.00758291565784199	0.0075656080069351405	0.007573822901194083	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	5	MarginalDistribution	True	True		0.026356935501098633	0.007545107526558431	0.007533547830181275	0.007538973079798067	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	6	MarginalDistribution	True	True		0.023493289947509766	0.007577424196225629	0.007555485597355581	0.007565800036792025	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	7	MarginalDistribution	True	True		0.05002999305725098	0.007692709251469348	0.007650011953143677	0.007670179586777695	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	8	MarginalDistribution	True	True		0.017637252807617188	0.00760027434262518	0.00757635545734354	0.007587581562325792	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	9	MarginalDistribution	True	True		0.05697894096374512	0.007541552475660433	0.007530593034201444	0.007535805782184926	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	0	MarginalDistribution	True	False		0.021749019622802734	0.007466688225975135	0.007463846991136682	0.007465247420634464	0.0	0.0	0.0	0.0	0.0	1.003667577058135	-0.0036952590612469027
Countries	271	2	1110	1	MarginalDistribution	True	False		0.022021055221557617	0.007494874720176307	0.007484212988227956	0.00748923764473177	0.0	0.0	0.0	0.0	0.0	1.004384934617493	-0.0044181459566075
Countries	271	2	1110	2	MarginalDistribution	True	False		0.03583788871765137	0.007547593110149841	0.0075282308657465494	0.007537288539874145	0.0	0.0	0.0	0.0	0.0	1.0036993309720583	-0.0037274962328495143
Countries	271	2	1110	3	MarginalDistribution	True	False		0.026160001754760742	0.007471310500483409	0.007469073368085272	0.007470173794805016	0.0	0.0	0.0	0.0	0.0	1.0034350847060658	-0.0034610241485093507
Countries	271	2	1110	4	MarginalDistribution	True	False		0.02064990997314453	0.007553204225476583	0.007534730397927949	0.007543502585502661	0.0	0.0	0.0	0.0	0.0	1.0040980376704232	-0.004129278170412087
Countries	271	2	1110	5	MarginalDistribution	True	False		0.025946855545043945	0.007515488344383826	0.007502930832356389	0.00750883774257224	0.0	0.0	0.0	0.0	0.0	1.0040806717413482	-0.004111647030916377
Countries	271	2	1110	6	MarginalDistribution	True	False		0.018503904342651367	0.0075424693335479475	0.007518796992481203	0.007529942730514739	0.0	0.0	0.0	0.0	0.0	1.0048795844482923	-0.004916732751784281
Countries	271	2	1110	7	MarginalDistribution	True	False		0.031136035919189453	0.007658582565656574	0.0076136093266714255	0.007634840915821677	0.0	0.0	0.0	0.0	0.0	1.004781257470715	-0.0048181161165983255
Countries	271	2	1110	8	MarginalDistribution	True	False		0.015802860260009766	0.007568413797347071	0.007543018778973835	0.0075549436883959155	0.0	0.0	0.0	0.0	0.0	1.0044195406834502	-0.004453280318091224
Countries	271	2	1110	9	MarginalDistribution	True	False		0.03372812271118164	0.007510717747938958	0.007498828308076863	0.007504490493944393	0.0	0.0	0.0	0.0	0.0	1.0042359585817384	-0.004268099905153422
Countries	271	2	1110	0	MarginalDistribution	False	True		0.0355679988861084	0.04561055070616349	0.011959636227731408	0.02028882345615244	0.0	0.0625	0.14583333333333334	0.375	0.7291666666666666	0.6263753413968005	0.3764446890478812
Countries	271	2	1110	1	MarginalDistribution	False	True		0.023102998733520508	0.07920761400826817	0.012015018773466833	0.021034891417380772	0.020833333333333332	0.08333333333333333	0.14583333333333334	0.3958333333333333	0.6666666666666666	0.6256362070315559	0.3771992110453648
Countries	271	2	1110	2	MarginalDistribution	False	True		0.033492088317871094	0.07272593446831888	0.01290843081887858	0.02356729137819582	0.020833333333333332	0.08333333333333333	0.125	0.5	0.7291666666666666	0.5853600944510036	0.4177968118010944
Countries	271	2	1110	3	MarginalDistribution	False	True		0.0158538818359375	0.04568618445656211	0.013626685592618877	0.02127544787336063	0.0	0.0625	0.10416666666666667	0.3958333333333333	0.75	0.5500039035053478	0.4533941634547314
Countries	271	2	1110	4	MarginalDistribution	False	True		0.024967193603515625	0.08282540351838716	0.01198202695956066	0.022845208038181127	0.020833333333333332	0.14583333333333334	0.1875	0.3958333333333333	0.6458333333333334	0.6314130349121285	0.37139680775033757
Countries	271	2	1110	5	MarginalDistribution	False	True		0.023192882537841797	0.08287242471958005	0.012861736334405145	0.023464250247157984	0.041666666666666664	0.08333333333333333	0.125	0.4791666666666667	0.75	0.5857333437965941	0.4174112437732269
Countries	271	2	1110	6	MarginalDistribution	False	True		0.0354921817779541	0.06539405980403487	0.010741859684457872	0.018675081462021653	0.020833333333333332	0.10416666666666667	0.125	0.2916666666666667	0.6458333333333334	0.7033684873288211	0.2988897700237906
Countries	271	2	1110	7	MarginalDistribution	False	True		0.04215407371520996	0.11018874104544762	0.01117969022941656	0.024092937852346143	0.0625	0.16666666666666666	0.20833333333333334	0.4375	0.625	0.6842776316837995	0.3181562675660483
Countries	271	2	1110	8	MarginalDistribution	False	True		0.03989672660827637	0.06268730940693355	0.011443557038979615	0.02207308866472868	0.0	0.08333333333333333	0.14583333333333334	0.4166666666666667	0.6458333333333334	0.6620629784547392	0.3405168986083499
Countries	271	2	1110	9	MarginalDistribution	False	True		0.018320083618164062	0.07632990584101251	0.01051018173855923	0.02034060345994562	0.020833333333333332	0.10416666666666667	0.16666666666666666	0.3958333333333333	0.6041666666666666	0.7165045497332915	0.28564653809674356
Countries	271	2	1110	0	MarginalDistribution	False	False		0.03252387046813965	0.007493667640792167	0.007491221225126804	0.007492426960356315	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	1	MarginalDistribution	False	False		0.02191781997680664	0.007526750119017399	0.007517030772844727	0.007521598841359188	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	2	MarginalDistribution	False	False		0.021506071090698242	0.007574502084499648	0.007556080283353011	0.007564694143897389	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	3	MarginalDistribution	False	False		0.02164602279663086	0.007496763848532328	0.007494730267780466	0.007495730624838166	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	4	MarginalDistribution	False	False		0.017015933990478516	0.00758291565784199	0.0075656080069351405	0.007573822901194083	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Countries	271	2	1110	5	MarginalDistribution	False	False		0.023302078247070312	0.007545107526558431	0.007533547830181275	0.007538973079798067	0.0	0.0	0.0	0.0	0.0	1.0	0.0
